,fips,area,population,percent_seniors,percent_poverty,percent_uninsured,income,vent,icu,percent_smoker,percent_inactive,population_density
147,13071,547.023219,45606,14.6998202,24.81691006,23.39385169,19173,3,16,20.96915254,34.5,83.37123255
148,13075,228.2780449,17184,15.50861266,23.74301676,17.8538175,19778,0,6,19.91139721,39.8,75.27662158
149,13077,440.9317724,140516,13.15366222,10.97170429,10.33049617,32542,9,23,15.77801161,26.7,318.6796888
150,13081,272.6610023,22846,17.56981528,30.18471505,16.51054889,21581,3,16,21.31708527,30.6,83.78902669
151,13083,173.9796141,16227,18.11178899,13.77334073,12.21421088,24028,0,6,15.52889893,30.2,93.26954818
152,13087,597.171522,26833,15.73063019,24.03383893,18.20892185,20397,2,10,19.14172658,25.4,44.93348898
153,13089,267.7254214,743187,11.51406039,16.26508537,14.70464365,34100,36,307,15.81843209,23,2775.929892
154,13091,495.9545561,20919,16.92241503,21.25818634,10.25383623,18921,2,6,19.20312436,34.7,42.17926772
155,13095,328.6436378,91049,14.63058353,28.17274215,16.60644268,21180,9,50,21.60755319,31.7,277.0447668
156,13097,200.0960654,141840,10.98773266,12.90820643,13.07036097,26621,10,8,16.63996106,28.4,708.8595156
157,13099,512.5992855,10348,18.63161964,28.3919598,15.45226131,17598,1,3,21.01910991,29.3,20.18730867
158,13103,478.7920098,58689,11.10770332,8.480294433,9.684949479,29795,2,4,16.27983515,35.1,122.5772335
159,13105,351.097473,19212,19.7272538,19.24318134,14.40766188,22593,2,4,17.84173617,39.1,54.71984699
160,13107,680.5712737,22499,15.50291124,26.00560025,17.30743589,17981,2,8,21.22506496,31.4,33.05899157
161,13109,182.8945518,10727,15.95972779,25.93455766,15.95040552,20537,2,9,19.26908961,28.5,58.65128236
162,13111,387.0295606,24925,27.91173521,13.33600802,13.3440321,26665,2,5,15.71593959,29.6,64.40076557
163,13113,194.3715005,111369,17.14031732,5.558099651,7.225529546,42126,8,66,12.82138586,18.7,572.9698012
164,13115,509.8223959,96824,16.14888871,18.24960754,13.45534165,25058,18,42,17.00582991,28.4,189.9171178
165,13117,224.5513158,219880,11.37938876,5.850009096,8.86028743,41585,7,24,12.5461395,21.2,979.1971123
166,13119,261.5605277,22514,19.3879364,24.1360931,16.29208492,21686,2,8,18.35444407,32.6,86.07567892
167,13121,526.7390925,1021902,11.09715022,14.62097148,10.86679545,43707,88,656,14.92550946,21.8,1940.053462
168,13127,419.5507097,83974,18.80820254,17.98771048,13.97099102,31493,8,12,16.3922857,26.9,200.1522058
169,13129,355.8311001,56790,14.13981335,19.77812995,16.05916535,22448,2,8,18.00746666,33.1,159.5981913
170,13131,454.5008272,24926,17.15879002,23.16456712,18.16175881,22442,2,4,19.04889936,37.8,54.84258445
171,13133,387.6509845,16976,27.76861451,22.00754006,15.60438266,35844,4,8,16.84801455,29.4,43.79196927
172,13135,430.552926,902298,9.24772082,11.2857393,16.9315459,29474,23,70,14.49513425,24.1,2095.67267
173,13137,276.8274965,44289,18.21445506,13.63995575,16.56393235,22018,2,4,16.33135582,22.5,159.98772
174,13139,392.9838902,195961,14.16506346,14.45134491,17.34426748,27625,20,85,15.63684314,26,498.6489393
175,13143,282.1651119,28956,15.6167979,15.27144633,12.17709628,24444,2,3,17.50771366,26.8,102.6207663
176,13151,318.6486038,221307,10.98383693,10.30694917,10.88939799,28274,10,33,15.81382504,26.5,694.5174005
177,13153,376.0568179,151682,12.18865785,15.43492306,11.5076278,28196,11,36,17.19316325,28.1,403.3486239
178,13155,354.3625743,9268,18.64479931,26.03582218,15.54812257,18406,2,6,20.33767541,26.9,26.15400348
179,13157,339.666148,65755,14.4095506,10.90107216,11.87286138,27115,2,5,15.69343273,31.1,193.5871455
180,13159,368.4078577,13784,16.86012768,17.52031341,13.58096344,19999,0,2,19.11841204,27.2,37.4150543
181,13161,330.9177466,14991,15.32252685,20.47895404,19.67847375,18042,2,4,19.42554614,33.6,45.30128757
182,13163,526.5506963,15772,17.41060107,24.0362668,13.99949277,18764,2,6,20.47611114,22.3,29.9534311
183,13165,347.3247437,8827,16.81205393,29.01325479,16.52883199,16089,1,3,22.16803561,30.6,25.41425614
184,13173,196.5360675,10366,12.72429095,22.9307351,14.80802624,18800,1,4,20.48389383,45.6,52.74349961
185,13175,807.2966498,47418,16.83748787,26.09979333,10.99582437,20655,6,16,20.00320028,39.5,58.73677292
186,13179,516.4702573,62108,8.354801314,16.17021962,11.25780898,21430,2,4,18.91960083,35.2,120.2547468
187,13185,497.1534989,114582,11.51838858,24.27868252,15.06606622,23077,9,48,19.84922691,33.5,230.4761009
188,13187,282.9419059,31951,16.70370254,16.4282808,11.57084285,24790,0,32,17.30128659,28,112.9242411
189,13189,257.4716206,21498,16.72713741,24.61159178,13.15006047,21384,2,4,19.20284562,36.8,83.4965809
190,13193,400.6618829,13480,15.97922849,23.21216617,17.20326409,15924,0,4,21.56139653,35.4,33.64432849
191,13199,501.2231522,21113,19.33405958,21.3280917,14.22820063,20060,6,11,18.21030701,43.6,42.12295443
192,13201,282.4227195,5836,21.31596984,22.29266621,14.25633996,21746,2,4,18.01135382,26.3,20.66405993
193,13205,512.1577744,22432,15.67849501,21.44703994,15.91476462,17514,1,4,20.40028861,31,43.7990032
194,13207,396.0914043,27010,17.53424658,13.38393188,11.38097001,34669,2,5,15.55574063,36.1,68.19133086
195,13211,347.4040911,18235,18.91417604,10.32629559,11.68631752,30587,1,4,15.20223466,23.5,52.48930703
196,13213,344.4937759,39557,14.09358647,15.2109614,16.83140784,20618,1,5,17.83613636,28.7,114.8264577
197,13215,216.4371761,196670,12.56521076,20.380841,12.23419942,25318,29,69,20.05814291,31.7,908.6701441
198,13217,273.7490759,106497,12.31771787,17.67373729,12.17123487,24426,4,10,17.09154095,30.9,389.0314502
199,13223,312.2916058,155840,10.11678645,9.367941478,10.83996407,27855,9,8,15.50594831,27.1,499.0207777
200,13225,150.266391,26966,15.09308018,19.99554995,13.47252095,22767,2,4,17.8564164,30.2,179.4546327
201,13227,232.058082,30832,20.8127919,9.496626881,11.08912818,30567,3,6,14.57754775,31.4,132.8632889
202,13233,310.3302493,41621,15.0645107,17.70019942,15.21827923,23233,2,4,17.85788786,29.2,134.1184113
203,13235,249.2612562,11295,18.937583,22.23992917,13.15626383,19389,2,6,18.31613943,37.5,45.31390146
204,13241,370.140119,16457,26.90648356,18.96457435,18.16856049,28312,2,4,17.01657558,31.9,44.46154079
205,13243,428.2358549,7087,21.15140398,35.78382955,15.91646677,19356,1,4,21.36822422,23.3,16.54929152
206,13245,324.3166058,201463,13.20391337,22.31476748,12.97707271,22045,61,402,19.90442764,30.6,621.192367
207,13247,129.8124391,89011,13.43204772,15.04757839,13.49833167,26367,5,16,18.32833079,34.8,685.6892962
208,13251,645.7711816,13990,17.66976412,21.75125089,13.65975697,21557,1,4,19.89608087,36.7,21.66402032
209,13253,237.5357937,8437,22.11686618,24.10809529,16.04835842,26358,1,8,17.92539035,32.1,35.51885747
210,13255,195.9836933,64719,17.07690168,21.17152614,15.28608291,22166,12,22,18.69156861,32.8,330.2264536
211,13257,179.1501303,25676,19.05281196,15.6060134,15.48138339,21839,2,6,17.24790237,27,143.3211349
212,13261,482.8707806,30352,15.93964154,25.89615182,12.0782815,20191,3,9,20.79132037,27.9,62.85739626
213,13267,480.8199573,25353,13.54474816,16.86585414,10.08164714,17553,2,4,20.43579877,49.9,52.72867653
214,13275,544.6091158,44730,17.16297787,20.42253521,15.55331992,25542,7,35,17.88825378,26.1,82.13230132
215,13277,260.9014562,40510,14.2631449,23.49049617,19.15082696,22072,4,20,18.82640513,39.5,155.2693518
216,13279,364.0080698,27048,16.20452529,23.38065661,16.44483881,23416,3,8,19.2793079,39.2,74.30604496
217,13281,166.463692,11417,34.01944469,14.64482789,10.77340808,23940,1,4,13.86498291,28.3,68.58552675
218,13285,414.0073151,69774,14.17863388,19.96732307,12.45592914,22348,7,20,18.04317082,34.9,168.533254
