fips,County_Name,State,Country,Lat,Long_,Combined_Key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,88
1045,Dale,Alabama,US,31.43037,-85.61096,"Dale, Alabama, US",2.030251,2.030251,4.060501,4.060501,8.121003,8.121003,8.121003,12.1815,12.1815,12.1815,16.24201,24.36301,24.36301,24.36301,28.42351,28.42351,34.51426,40.60501,42.63527,42.63527,44.66552,44.66552,46.69577,46.69577,50.75627,50.75627,50.75627,50.75627,54.81677,54.81677,56.84702,69.02853,69.02853,69.02853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1047,Dallas,Alabama,US,32.32688,-87.10867,"Dallas, Alabama, US",4.996378,4.996378,4.996378,4.996378,4.996378,4.996378,4.996378,4.996378,9.992755,17.48732,17.48732,17.48732,17.48732,17.48732,17.48732,17.48732,27.48008,24.98189,34.97464,34.97464,42.46921,44.9674,52.46197,52.46197,54.96015,62.45472,64.95291,72.44748,74.94566,72.44748,79.94204,79.94204,82.44023,92.43299,92.43299,92.43299,102.4257,104.9239,122.4113,147.3931,162.3823,169.8768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,DeKalb,Alabama,US,34.45947,-85.80783,"DeKalb, Alabama, US",1.404494,1.404494,5.617978,5.617978,5.617978,5.617978,7.022472,11.23596,14.04494,18.25843,19.66292,19.66292,19.66292,19.66292,21.06742,23.8764,29.49438,36.51685,37.92135,40.73034,40.73034,44.94382,47.75281,56.17978,58.98876,64.60674,71.62921,81.46067,85.67416,85.67416,85.67416,98.31461,103.9326,106.7416,108.1461,108.1461,106.7416,108.1461,110.9551,126.4045,139.0449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,Elmore,Alabama,US,32.59785,-86.14415,"Elmore, Alabama, US",1.231345,1.231345,1.231345,2.46269,4.92538,6.156726,6.156726,7.388071,7.388071,7.388071,9.850761,11.08211,12.31345,14.77614,14.77614,16.00749,16.00749,16.00749,17.23883,20.93287,23.39556,23.39556,23.39556,23.39556,27.08959,27.08959,33.24632,35.70901,36.94035,40.63439,43.09708,52.94784,57.87322,66.49264,66.49264,71.41802,77.57474,84.96281,89.88819,91.11954,91.11954,91.11954,91.11954,97.27626,97.27626,100.9703,103.433,105.8957,108.3584,114.5151,126.8285,136.6793,148.9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,Escambia,Alabama,US,31.12568,-87.15919,"Escambia, Alabama, US",2.678954,2.678954,2.678954,2.678954,2.678954,5.357908,5.357908,5.357908,8.036862,8.036862,8.036862,8.036862,13.39477,13.39477,24.11059,21.43163,21.43163,26.78954,24.11059,29.4685,37.50536,32.14745,37.50536,42.86327,45.54222,48.22117,56.25804,58.93699,58.93699,66.97385,69.65281,72.33176,72.33176,75.01072,77.68967,80.36862,83.04758,85.72653,83.04758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,Etowah,Alabama,US,34.04567,-86.04052,"Etowah, Alabama, US",3.885796,3.885796,5.828695,5.828695,5.828695,7.771593,9.714491,12.62884,18.45753,25.25768,34.00072,39.82941,41.77231,41.77231,47.60101,61.20129,71.88723,72.85868,74.80158,75.77303,75.77303,83.54462,84.51607,90.34477,95.20201,97.14491,105.888,112.6881,116.5739,117.5453,117.5453,121.4311,122.4026,126.2884,135.0314,135.0314,135.0314,136.9743,138.9172,141.8316,147.6603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,Fayette,Alabama,US,33.72077,-87.73887,"Fayette, Alabama, US",6.029545,6.029545,6.029545,6.029545,6.029545,6.029545,6.029545,6.029545,6.029545,6.029545,6.029545,12.05909,18.08863,24.11818,24.11818,24.11818,24.11818,24.11818,24.11818,24.11818,24.11818,18.08863,24.11818,24.11818,24.11818,24.11818,24.11818,30.14772,30.14772,30.14772,36.17727,36.17727,36.17727,36.17727,36.17727,36.17727,36.17727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,Franklin,Alabama,US,34.44235,-87.8429,"Franklin, Alabama, US",3.170376,3.170376,6.340752,9.511128,9.511128,9.511128,9.511128,9.511128,9.511128,9.511128,12.6815,15.85188,19.02226,19.02226,19.02226,22.19263,22.19263,25.36301,25.36301,25.36301,31.70376,31.70376,38.04451,44.38526,53.89639,57.06677,53.89639,53.89639,57.06677,57.06677,69.74827,79.2594,101.452,101.452,129.9854,136.3262,139.4965,142.6669,183.8818,247.2893,317.0376,418.4896,431.1711,481.8972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,Geneva,Alabama,US,31.09389,-85.83573,"Geneva, Alabama, US",3.774867,3.774867,3.774867,3.774867,3.774867,7.549734,7.549734,7.549734,15.09947,15.09947,15.09947,15.09947,18.87433,22.6492,22.6492,22.6492,30.19894,30.19894,30.19894,33.9738,33.9738,33.9738,37.74867,37.74867,41.52354,41.52354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,Greene,Alabama,US,32.85504,-87.95684,"Greene, Alabama, US",11.86803,35.60408,35.60408,35.60408,35.60408,47.47211,47.47211,59.34014,59.34014,71.20817,94.94422,118.6803,118.6803,142.4163,154.2844,166.1524,201.7565,213.6245,213.6245,213.6245,237.3606,284.8327,344.1728,344.1728,379.7769,379.7769,474.7211,486.5891,522.1932,522.1932,545.9293,545.9293,557.7973,593.4014,652.7415,640.8735,652.7415,688.3456,723.9497,723.9497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
