fips,UID,iso2,iso3,code3,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,X1.22.20,X1.23.20,X1.24.20,X1.25.20,X1.26.20,X1.27.20,X1.28.20,X1.29.20,X1.30.20,X1.31.20,X2002.01.20,X2002.02.20,X2002.03.20,X2002.04.20,X2002.05.20,X2002.06.20,X2002.07.20,X2002.08.20,X2002.09.20,X2002.10.20,X2002.11.20,X2002.12.20,X2.13.20,X2.14.20,X2.15.20,X2.16.20,X2.17.20,X2.18.20,X2.19.20,X2.20.20,X2.21.20,X2.22.20,X2.23.20,X2.24.20,X2.25.20,X2.26.20,X2.27.20,X2.28.20,X2.29.20,X2003.01.20,X2003.02.20,X2003.03.20,X2003.04.20,X2003.05.20,X2003.06.20,X2003.07.20,X2003.08.20,X2003.09.20,X2003.10.20,X2003.11.20,X2003.12.20,X3.13.20,X3.14.20,X3.15.20,X3.16.20,X3.17.20,X3.18.20,X3.19.20,X3.20.20,X3.21.20,X3.22.20,X3.23.20,X3.24.20,X3.25.20,X3.26.20,X3.27.20,X3.28.20,X3.29.20,X3.30.20,X3.31.20,X2004.01.20,X2004.02.20,X2004.03.20,X2004.04.20,X2004.05.20,X2004.06.20,X2004.07.20,X2004.08.20,X2004.09.20,X2004.10.20,X2004.11.20,X2004.12.20,X4.13.20,X4.14.20,X4.15.20,X4.16.20,X4.17.20,X4.18.20,X4.19.20,X4.20.20,X4.21.20,X4.22.20,X4.23.20,X4.24.20,X4.25.20,X4.26.20,X4.27.20,X4.28.20,X4.29.20,X4.30.20,X2005.01.20,X2005.02.20,X2005.03.20,X2005.04.20,X2005.05.20
1035,1035,US,USA,840,Conecuh,Alabama,US,31.43401703,-86.99320044,"Conecuh, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.991050024,7.991050024,15.98210005,15.98210005,15.98210005,15.98210005,31.9642001,31.9642001,23.97315007,23.97315007,39.95525012,39.95525012,39.95525012,39.95525012,63.92840019,63.92840019,79.91050024,79.91050024,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022,71.91945022
1039,1039,US,USA,840,Covington,Alabama,US,31.2477854,-86.45050893,"Covington, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67730449,5.35460898,5.35460898,5.35460898,5.35460898,8.03191347,8.03191347,10.70921796,10.70921796,10.70921796,10.70921796,13.38652245,24.09574041,26.7730449,26.7730449,29.45034939,34.80495837,34.80495837,42.83687184,45.51417633,48.19148082,50.86878531,56.22339429,58.90069878,64.25530776,69.60991674,72.28722123,77.64183021,82.99643919,82.99643919,88.35104816,91.02835265,93.70565714,96.38296163,96.38296163,101.7375706,115.1240931,120.478702,120.478702,123.1560065
1041,1041,US,USA,840,Crenshaw,Alabama,US,31.72941803,-86.31593104,"Crenshaw, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.212405337,7.212405337,7.212405337,7.212405337,7.212405337,7.212405337,7.212405337,7.212405337,14.42481067,14.42481067,14.42481067,14.42481067,14.42481067,14.42481067,14.42481067,14.42481067,21.63721601,21.63721601,21.63721601,21.63721601,36.06202669,36.06202669,43.27443202,43.27443202,43.27443202,43.27443202,43.27443202,57.6992427,72.12405337,72.12405337,79.33645871,86.54886405,115.3984854,122.6108907,137.0357014,137.0357014,151.4605121,165.8853228,180.3101334,187.5225388
1043,1043,US,USA,840,Cullman,Alabama,US,34.13020303,-86.86888037,"Cullman, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.429749857,2.429749857,2.429749857,3.644624786,4.859499715,7.289249572,7.289249572,8.5041245,8.5041245,9.718999429,9.718999429,10.93387436,10.93387436,18.22312393,18.22312393,18.22312393,24.29749857,25.5123735,26.72724843,26.72724843,36.44624786,37.66112279,47.38012222,47.38012222,48.59499715,48.59499715,48.59499715,64.38837122,51.024747,51.024747,53.45449686,54.66937179,53.45449686,53.45449686,57.09912165,57.09912165,60.74374643,63.17349629,63.17349629,66.81812107,66.81812107,69.24787093,69.24787093,70.46274586,70.46274586,70.46274586
1045,1045,US,USA,840,Dale,Alabama,US,31.43037123,-85.61095742,"Dale, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.030250736,2.030250736,4.060501472,4.060501472,8.121002944,8.121002944,8.121002944,12.18150442,12.18150442,12.18150442,16.24200589,24.36300883,24.36300883,24.36300883,28.4235103,28.4235103,34.51426251,40.60501472,42.63526546,42.63526546,44.66551619,44.66551619,46.69576693,46.69576693,50.7562684,50.7562684,50.7562684,50.7562684,54.81676987,54.81676987,56.84702061,69.02852502,69.02852502,69.02852502
1047,1047,US,USA,840,Dallas,Alabama,US,32.32688101,-87.1086671,"Dallas, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.996377626,4.996377626,4.996377626,4.996377626,4.996377626,4.996377626,4.996377626,4.996377626,9.992755252,17.48732169,17.48732169,17.48732169,17.48732169,17.48732169,17.48732169,17.48732169,27.48007694,24.98188813,34.97464338,34.97464338,42.46920982,44.96739864,52.46196508,52.46196508,54.96015389,62.45472033,64.95290914,72.44747558,74.94566439,72.44747558,79.94204202,79.94204202,82.44023083,92.43298609,92.43298609,92.43298609,102.4257413,104.9239302,122.4112518,147.39314,162.3822729,169.8768393
1049,1049,US,USA,840,DeKalb,Alabama,US,34.45946862,-85.80782906,"DeKalb, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.404494382,1.404494382,5.617977528,5.617977528,5.617977528,5.617977528,7.02247191,11.23595506,14.04494382,18.25842697,19.66292135,19.66292135,19.66292135,19.66292135,21.06741573,23.87640449,29.49438202,36.51685393,37.92134831,40.73033708,40.73033708,44.94382022,47.75280899,56.17977528,58.98876404,64.60674157,71.62921348,81.46067416,85.6741573,85.6741573,85.6741573,98.31460674,103.9325843,106.741573,108.1460674,108.1460674,106.741573,108.1460674,110.9550562,126.4044944,139.0449438
1051,1051,US,USA,840,Elmore,Alabama,US,32.59785413,-86.14415284,"Elmore, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231345121,1.231345121,1.231345121,2.462690243,4.925380486,6.156725607,6.156725607,7.388070728,7.388070728,7.388070728,9.850760971,11.08210609,12.31345121,14.77614146,14.77614146,16.00748658,16.00748658,16.00748658,17.2388317,20.93286706,23.39555731,23.39555731,23.39555731,23.39555731,27.08959267,27.08959267,33.24631828,35.70900852,36.94035364,40.63438901,43.09707925,52.94784022,57.87322071,66.49263656,66.49263656,71.41801704,77.57474265,84.96281338,89.88819386,91.11953898,91.11953898,91.11953898,91.11953898,97.27626459,97.27626459,100.9703,103.4329902,105.8956804,108.3583707,114.5150963,126.8285475,136.6793085,148.9927597
1053,1053,US,USA,840,Escambia,Alabama,US,31.1256789,-87.15918694,"Escambia, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.678954136,2.678954136,2.678954136,2.678954136,2.678954136,5.357908273,5.357908273,5.357908273,8.036862409,8.036862409,8.036862409,8.036862409,13.39477068,13.39477068,24.11058723,21.43163309,21.43163309,26.78954136,24.11058723,29.4684955,37.50535791,32.14744964,37.50535791,42.86326618,45.54222032,48.22117445,56.25803686,58.936991,58.936991,66.97385341,69.65280754,72.33176168,72.33176168,75.01071582,77.68966995,80.36862409,83.04757823,85.72653236,83.04757823
1055,1055,US,USA,840,Etowah,Alabama,US,34.04567266,-86.04051873,"Etowah, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.885796443,3.885796443,5.828694664,5.828694664,5.828694664,7.771592885,9.714491106,12.62883844,18.4575331,25.25767688,34.00071887,39.82941354,41.77231176,41.77231176,47.60100642,61.20129397,71.88723419,72.8586833,74.80158152,75.77303063,75.77303063,83.54462351,84.51607263,90.34476729,95.20201284,97.14491106,105.8879531,112.6880968,116.5738933,117.5453424,117.5453424,121.4311388,122.4025879,126.2883844,135.0314264,135.0314264,135.0314264,136.9743246,138.9172228,141.8315702,147.6602648
